chart,position,song,artist,album
2242,1,Winter Solstice,Phoenix,Alpha Zulu
2242,2,Kick in the Head,Tove Lo,Dirt Femme
2242,3,Bad Thing Twice,Carly Rae Jepsen,The Loneliest Time
2242,4,Hard Out Here,Raye,21st Century Blues
2242,5,Karma,Taylor Swift,Midnights
2242,6,Lavender Haze,Taylor Swift,Midnights
2242,7,One Thing Left to Try,MGMT,Little Dark Age
2242,8,Falling Into Me,Let's Eat Grandma,I'm All Ears
2242,9,Snakes & Ladders,Let's Eat Grandma,I'm All Ears
2242,10,TDLY (Homegrown Land),Sudan Archives,Natural Brown Prom Queen
2242,11,Intro,The xx,The xx
2242,12,Girls Like You,The Naked and Famous,Passive Me Aggressive You
2242,13,Attention Whore,"Tove Lo, Channel Tres",Dirt Femme
2242,14,Delicious Things,Wolf Alice,Blue Weekend
2242,15,The Loneliest Time,"Carly Rae Jepsen, Rufus Wainwright",The Loneliest Time
